image_name,label,shape_width,shape_height,shape_aspect_ratio,shape_area,glcm_contrast,glcm_correlation,glcm_energy,glcm_homogeneity,lbp_bin_0,lbp_bin_1,lbp_bin_2,lbp_bin_3,lbp_bin_4,lbp_bin_5,lbp_bin_6,lbp_bin_7,lbp_bin_8,lbp_bin_9
000001.jpg,0,63.0,41.0,1.5365853658536586,2583.0,23.89832207529293,0.9915019847813049,0.04525486195324299,0.49101824348478906,0.012610157699443411,0.005272350417439702,0.09569950139146566,0.27336502782931354,0.30219083371985167,0.07486375231910943,0.0494984925788497,0.07923020060296848,0.01636059253246754,0.0
000002.jpg,0,51.0,40.0,1.275,2040.0,33.64414732762424,0.9925330367756732,0.031940410093438606,0.41971375565158076,0.011921672077922076,0.006703675788497216,0.08595199443413727,0.3330458603896103,0.2988752319109463,0.05727113288497214,0.03663468228200369,0.06428281539888685,0.014403843923933214,0.0
000003.jpg,0,162.0,123.0,1.3170731707317074,19926.0,15.172731046019923,0.9851423172788419,0.03485013097518688,0.32430844408465953,0.03027524930426716,0.02250260899814471,0.1283844503710575,0.32556310876623373,0.21989868390538042,0.07408467648423002,0.03331908047309832,0.03877261131725419,0.03629043947124305,0.0
000004.jpg,0,110.0,70.0,1.5714285714285714,7700.0,81.06460147930933,0.9722902750782736,0.03820280480534217,0.3536779591009193,0.027213300092764375,0.01962184021335807,0.11986897031539888,0.3138044990723562,0.24528206168831176,0.07339619086270868,0.03607302295918365,0.042233157467532485,0.031597866419295004,0.0
000005.jpg,0,103.0,87.0,1.1839080459770115,8961.0,10.38104030541982,0.995490796429282,0.04089378607076527,0.3973752325113953,0.019205125231910945,0.011812963821892392,0.09814543715213357,0.33755725301484224,0.2650126101576995,0.07120390769944339,0.03322849025974024,0.049389784322820054,0.023535337430426722,0.0
000006.jpg,0,247.0,172.0,1.436046511627907,42484.0,64.4134252514735,0.9300621728009799,0.03234427198777529,0.251146094698884,0.04370071892393321,0.03717822356215213,0.15409395292207792,0.27950704429499074,0.19730548469387763,0.07705603548237473,0.036942689007421134,0.036344793599257894,0.04696196660482376,0.0
000007.jpg,0,657.0,363.0,1.8099173553719008,238491.0,134.81842301793927,0.9532769325887519,0.016107214049826825,0.13315635074226878,0.11109983766233765,0.07381290584415584,0.12677194457328383,0.15248144712430425,0.12825762407235627,0.08854287453617805,0.06500753710575136,0.06187311572356217,0.10124362244897962,0.0
000008.jpg,0,384.0,237.0,1.620253164556962,91008.0,90.82736922962067,0.9471990556197651,0.02213801091397354,0.20009184980482353,0.061202748144712424,0.05348446196660482,0.15632247217068646,0.2429991883116883,0.1665772843228201,0.08428513450834875,0.043392712198515745,0.04339271219851578,0.05743419526901672,0.0
000009.jpg,0,411.0,304.0,1.3519736842105263,124944.0,66.80474589687029,0.971758280049029,0.01925178425350755,0.18118003263700308,0.07540729359925788,0.060314964053803335,0.14557847286641928,0.22267074443413729,0.15422077922077926,0.08196602504638216,0.05381058673469385,0.04659960575139148,0.06852243738404455,0.0
000010.jpg,0,265.0,228.0,1.162280701754386,60420.0,129.93865128460953,0.965224634788389,0.015512523283207368,0.13983958059317664,0.08129565746753245,0.06413787105751391,0.14927455357142855,0.21453574327458255,0.1495100881261596,0.07975562384044523,0.05359317022263448,0.044733447356215233,0.07225475417439706,0.0
